Pixel,Wavelength (nm),Intensity (a.u.)
Pixel,Wavelength,Intensity
1145,822.55,3902.42
1146,822.912,3899.17
1147,823.273,3901.33
1148,823.634,3899.67
1149,823.996,3890.17
1150,824.357,3881.08
1151,824.718,3867.17
1152,825.079,3855.25
1153,825.44,3847.5
1154,825.801,3833.58
1155,826.161,3825.33
1156,826.522,3823.58
1157,826.882,3819.42
1158,827.242,3813.17
1159,827.603,3812
1160,827.963,3823.33
1161,828.323,3833.58
1162,828.682,3841.33
1163,829.042,3838.83
1164,829.402,3831.58
1165,829.761,3826.83
1166,830.121,3819.58
1167,830.48,3806.17
1168,830.839,3785
1169,831.198,3770.25
1170,831.557,3763.67
1171,831.916,3753.75
1172,832.275,3744.33
1173,832.634,3725.08
1174,832.992,3703.67
1175,833.351,3682.42
1176,833.709,3663.08
1177,834.067,3659.17
1178,834.425,3658.75
1179,834.783,3651.83
1180,835.141,3643.92
1181,835.499,3636.92
1182,835.857,3639.92
1183,836.214,3639.67
1184,836.572,3634.92
1185,836.929,3637.33
1186,837.286,3630.58
1187,837.644,3619.67
1188,838.001,3603.08
1189,838.357,3594.25
1190,838.714,3592.5
1191,839.071,3584.17
1192,839.428,3580.17
1193,839.784,3574.17
1194,840.14,3564.67
1195,840.497,3549.75
1196,840.853,3534.33
1197,841.209,3524.25
1198,841.565,3513.25
1199,841.92,3504.83
1200,842.276,3504.17
1201,842.632,3504
1202,842.987,3508.58
1203,843.343,3515.92
1204,843.698,3510.42
1205,844.053,3499.75
1206,844.408,3505.75
1207,844.763,3506.75
1208,845.118,3494.25
1209,845.472,3487.67
1210,845.827,3478.67
1211,846.181,3474.17
1212,846.536,3478.25
1213,846.89,3478.75
1214,847.244,3466.17
1215,847.598,3452.67
1216,847.952,3454.17
1217,848.306,3454.67
1218,848.66,3453.58
1219,849.013,3453.75
1220,849.367,3457.42
1221,849.72,3455.5
1222,850.073,3449.08
1223,850.427,3449.25
1224,850.78,3446.08
1225,851.133,3434.25
1226,851.485,3418.58
1227,851.838,3403.58
1228,852.191,3387.58
1229,852.543,3387.75
1230,852.896,3393.25
1231,853.248,3386.25
1232,853.6,3375.67
1233,853.952,3370.08
1234,854.304,3364.25
1235,854.656,3352.92
1236,855.007,3340.83
1237,855.359,3339.5
1238,855.71,3340.17
1239,856.062,3336.5
1240,856.413,3329.75
1241,856.764,3313.75
1242,857.115,3292.17
1243,857.466,3288.5
1244,857.817,3290.83
1245,858.168,3287.25
1246,858.518,3290.67
1247,858.869,3282.92
1248,859.219,3265.08
1249,859.569,3248.67
1250,859.92,3237.08
1251,860.27,3225.83
1252,860.619,3213.83
1253,860.969,3216.08
1254,861.319,3223.83
1255,861.669,3225.58
1256,862.018,3226.67
1257,862.367,3226
1258,862.717,3216.58
1259,863.066,3213.5
1260,863.415,3220.42
1261,863.764,3214.33
1262,864.112,3196.08
1263,864.461,3178.92
1264,864.81,3166.08
1265,865.158,3156.75
1266,865.507,3148.17
1267,865.855,3139.75
1268,866.203,3138.08
1269,866.551,3150.92
1270,866.899,3160.58
1271,867.247,3155.92
1272,867.594,3145.5
1273,867.942,3140.5
1274,868.289,3134.42
1275,868.637,3129
1276,868.984,3136.42
1277,869.331,3154
1278,869.678,3168.08
1279,870.025,3175.42
1280,870.372,3170.42
1281,870.718,3164.92
1282,871.065,3169.67
1283,871.411,3163.5
1284,871.758,3145.83
1285,872.104,3130.58
1286,872.45,3114.5
1287,872.796,3107.67
1288,873.142,3111.33
1289,873.488,3114.67
1290,873.833,3103.25
