depth[mm]	HF [V]	NF [V]	TGC [dB]
90,8	0,011	-0,008	11,181
90,9	0,015	0,000	11,181
91,0	0,016	0,011	11,181
91,2	0,015	0,016	11,181
91,3	0,013	0,009	11,181
91,5	0,011	-0,003	11,181
91,6	0,009	-0,008	11,181
91,7	0,006	-0,005	11,181
91,9	0,004	0,001	11,181
92,0	0,002	0,002	11,181
92,2	0,002	0,000	11,181
92,3	0,003	0,000	11,181
92,4	0,004	0,003	11,181
92,6	0,006	0,006	11,181
92,7	0,006	0,005	11,181
92,9	0,005	0,002	11,181
93,0	0,004	-0,001	11,216
93,1	0,002	-0,002	11,181
93,3	0,001	-0,001	11,181
93,4	0,002	-0,001	11,199
93,5	0,003	-0,001	11,304
93,7	0,004	0,001	11,251
93,8	0,005	0,005	11,339
94,0	0,006	0,006	11,269
94,1	0,006	0,004	11,321
94,2	0,005	0,000	11,339
94,4	0,004	-0,002	11,339
94,5	0,003	-0,003	11,321
94,7	0,002	-0,001	11,339
94,8	0,001	0,000	11,339
94,9	0,001	0,001	11,339
95,1	0,001	0,001	11,304
95,2	0,001	0,000	11,339
95,4	0,001	0,000	11,339
95,5	0,001	0,000	11,339
95,6	0,001	0,000	11,339
95,8	0,001	0,000	11,339
95,9	0,001	0,000	11,339
96,0	0,001	-0,001	11,339
96,2	0,001	0,000	11,339
96,3	0,002	0,001	11,339
96,5	0,003	0,001	11,339
96,6	0,005	-0,002	11,339
96,7	0,007	-0,006	11,339
96,9	0,008	-0,008	11,339
97,0	0,009	-0,007	11,339
97,2	0,009	-0,004	11,356
97,3	0,010	0,001	11,339
97,4	0,010	0,005	11,339
97,6	0,010	0,009	11,339
97,7	0,010	0,010	11,374
97,9	0,010	0,010	11,339
98,0	0,011	0,008	11,374
98,1	0,011	0,004	11,339
98,3	0,011	-0,002	11,391
98,4	0,011	-0,007	11,339
98,6	0,010	-0,010	11,374
98,7	0,009	-0,009	11,339
98,8	0,008	-0,007	11,339
99,0	0,007	-0,004	11,181
99,1	0,007	-0,001	11,181
99,2	0,007	0,002	11,094
99,4	0,008	0,005	10,621
99,5	0,008	0,008	6,824
99,7	0,008	0,007	3,307
99,8	0,007	0,003	2,012
99,9	0,006	-0,001	1,417
100,1	0,004	-0,003	1,032
100,2	0,003	-0,003	0,787
100,4	0,002	-0,001	0,630
100,5	0,001	-0,001	0,472
100,6	0,001	-0,001	0,315
100,8	0,001	-0,001	0,315
100,9	0,001	-0,001	0,280
101,1	0,001	-0,001	0,192
101,2	0,000	0,000	0,157
101,3	0,000	0,000	0,157
101,5	0,001	0,000	0,157
101,6	0,001	-0,001	0,157
101,7	0,001	-0,001	0,105
101,9	0,001	-0,001	0,070
102,0	0,001	0,000	0,035
102,2	0,001	-0,001	0,035
102,3	0,001	-0,001	0,000
102,4	0,001	-0,001	0,000
102,6	0,001	0,000	0,017
102,7	0,001	0,000	0,052
102,9	0,001	-0,001	0,017
103,0	0,001	-0,001	0,035
103,1	0,001	-0,001	0,017
103,3	0,001	0,000	0,035
103,4	0,001	-0,001	0,000
103,6	0,002	-0,002	0,052
103,7	0,004	0,000	0,000
103,8	0,006	0,004	0,017
104,0	0,008	0,007	0,000
104,1	0,009	0,006	0,000
104,2	0,009	-0,001	0,000
104,4	0,009	-0,008	0,000
104,5	0,008	-0,008	0,000
104,7	0,007	-0,003	0,000
104,8	0,005	0,002	0,000
104,9	0,003	0,003	0,000
105,1	0,001	0,001	0,000
105,2	0,001	-0,001	0,000
105,4	0,001	0,001	0,000
105,5	0,002	0,002	0,122
105,6	0,003	0,002	0,000
105,8	0,002	0,000	0,017
105,9	0,002	-0,001	0,000
106,1	0,001	-0,001	0,017
106,2	0,001	0,000	0,000
106,3	0,001	0,000	0,017
106,5	0,001	-0,001	0,000
106,6	0,001	-0,001	0,000
106,8	0,001	-0,001	0,000
106,9	0,001	0,000	0,052
107,0	0,001	0,000	0,000
107,2	0,001	-0,001	0,000
107,3	0,001	-0,001	0,000
107,4	0,001	0,000	0,000
107,6	0,001	0,000	0,000
107,7	0,000	0,000	0,035
107,9	0,000	0,000	0,000
108,0	0,000	0,000	0,035
108,1	0,001	-0,001	0,000
108,3	0,001	-0,001	0,035
108,4	0,001	-0,001	0,000
108,6	0,001	0,000	0,017
108,7	0,000	-0,001	0,000
108,8	0,000	-0,001	0,000
109,0	0,001	-0,001	0,000
109,1	0,001	0,000	0,035
109,3	0,001	-0,001	0,000
109,4	0,001	-0,001	0,070
109,5	0,000	-0,001	0,000
109,7	0,000	0,000	0,000
109,8	0,001	0,000	0,000
109,9	0,001	-0,001	0,000
110,1	0,001	-0,001	0,000
110,2	0,001	0,000	0,035
110,4	0,000	0,000	0,000
110,5	0,000	0,000	0,017
110,6	0,000	0,000	0,000
110,8	0,000	0,000	0,017
