time [µs]	HF [V]	NF [V]	TGC [dB]
58,4	0,003	0,001	0,157
58,5	0,004	0,003	0,157
58,6	0,004	0,004	0,157
58,7	0,004	0,003	0,157
58,8	0,003	0,001	0,157
58,9	0,003	0,000	0,157
59,0	0,002	-0,001	0,157
59,1	0,002	-0,001	0,157
59,2	0,001	-0,001	0,157
59,3	0,001	-0,001	0,157
59,4	0,000	0,000	0,157
59,5	0,000	0,000	0,157
59,6	0,000	0,000	0,157
59,7	0,000	0,000	0,157
59,8	0,000	0,000	0,157
59,9	0,000	0,000	0,157
60,0	0,000	0,000	0,157
60,1	0,001	0,000	0,157
60,2	0,000	0,000	0,157
60,3	0,000	0,000	0,157
60,4	0,000	0,000	0,157
60,5	0,001	-0,001	0,157
60,6	0,001	-0,001	0,157
60,7	0,001	0,000	0,157
60,8	0,001	0,001	0,157
60,9	0,002	0,002	0,157
61,0	0,002	0,001	0,157
61,1	0,002	0,000	0,157
61,2	0,001	-0,001	0,157
61,3	0,001	-0,001	0,157
61,4	0,001	0,000	0,157
61,5	0,000	0,000	0,157
61,6	0,000	0,000	0,157
61,7	0,000	0,000	0,157
61,8	0,000	0,000	0,157
61,9	0,000	0,000	0,157
62,0	0,000	0,000	0,157
62,1	0,000	0,000	0,157
62,2	0,000	0,000	0,157
62,3	0,000	0,000	0,157
62,4	0,000	0,000	0,157
62,5	0,000	0,000	0,157
62,6	0,000	0,000	0,157
62,7	0,000	0,000	0,157
62,8	0,000	0,000	0,157
62,9	0,000	0,000	0,157
63,0	0,000	0,000	0,157
63,1	0,000	0,000	0,157
63,2	0,000	0,000	0,157
63,3	0,001	0,001	0,157
63,4	0,001	0,000	0,157
63,5	0,001	0,000	0,157
63,6	0,001	-0,001	0,157
63,7	0,000	0,000	0,157
63,8	0,000	0,000	0,157
63,9	0,000	0,000	0,157
64,0	0,001	0,000	0,157
64,1	0,001	-0,001	0,157
64,2	0,001	-0,001	0,157
64,3	0,001	0,000	0,157
64,4	0,000	0,000	0,157
64,5	0,000	0,000	0,157
64,6	0,000	0,000	0,157
64,7	0,001	0,000	0,157
64,8	0,001	0,001	0,157
64,9	0,002	0,002	0,157
65,0	0,002	0,001	0,157
65,1	0,001	0,000	0,157
65,2	0,001	-0,001	0,157
65,3	0,000	0,000	0,157
65,4	0,000	0,000	0,157
65,5	0,001	0,000	0,157
65,6	0,001	0,000	0,157
65,7	0,001	0,000	0,157
65,8	0,001	0,000	0,157
65,9	0,000	0,000	0,157
66,0	0,000	0,000	0,157
66,1	0,000	0,000	0,157
66,2	0,000	0,000	0,157
66,3	0,000	0,000	0,157
66,4	0,000	0,000	0,157
66,5	0,000	0,000	0,157
66,6	0,000	0,000	0,157
66,7	0,000	0,000	0,157
66,8	0,000	0,000	0,157
66,9	0,000	0,000	0,157
67,0	0,000	0,000	0,157
67,1	0,000	0,000	0,157
67,2	0,000	0,000	0,157
67,3	0,000	0,000	0,157
67,4	0,000	0,000	0,157
67,5	0,000	0,000	0,157
67,6	0,000	0,000	0,157
67,7	0,000	0,000	0,157
67,8	0,000	0,000	0,157
67,9	0,000	0,000	0,157
68,0	0,000	0,000	0,157
68,1	0,000	0,000	0,157
68,2	0,000	0,000	0,157
68,3	0,000	0,000	0,157
68,4	0,000	0,000	0,157
68,5	0,000	0,000	0,157
68,6	0,000	0,000	0,157
68,7	0,000	0,000	0,157
68,8	0,001	-0,001	0,157
68,9	0,001	0,000	0,157
69,0	0,001	0,000	0,157
69,1	0,001	0,000	0,157
69,2	0,001	0,000	0,157
69,3	0,001	-0,001	0,157
69,4	0,000	0,000	0,157
69,5	0,000	0,000	0,157
69,6	0,001	0,000	0,157
69,7	0,001	-0,001	0,157
69,8	0,002	-0,001	0,157
69,9	0,003	0,001	0,157
70,0	0,004	0,004	0,157
70,1	0,005	0,004	0,157
70,2	0,004	0,002	0,157
70,3	0,003	0,000	0,157
70,4	0,002	-0,001	0,157
70,5	0,001	-0,001	0,157
70,6	0,001	0,000	0,157
70,7	0,001	0,000	0,157
70,8	0,001	0,000	0,157
70,9	0,001	-0,001	0,157
71,0	0,001	0,000	0,122
71,1	0,000	0,000	0,175
71,2	0,000	0,001	0,175
71,3	0,001	0,001	0,157
71,4	0,001	0,001	0,157
71,5	0,001	0,000	0,157
71,6	0,001	0,000	0,157
71,7	0,001	0,000	0,157
