time,Y 
0.562448,0.5725305
0.562470,0.5750803
0.562492,0.5687056
0.562514,0.5725305
0.562537,0.5712555
0.562559,0.5687056
0.562581,0.5750803
0.562603,0.5712555
0.562625,0.5738054
0.562648,0.5750803
0.562670,0.5725305
0.562692,0.5750803
0.562714,0.5712555
0.562736,0.5687056
0.562759,0.5750803
0.562781,0.5699806
0.562803,0.5725305
0.562825,0.5712555
0.562847,0.5687056
0.562870,0.5738054
0.562892,0.5699806
0.562914,0.5725305
0.562936,0.5750803
0.562959,0.5687056
0.562981,0.5725305
0.563003,0.5725305
0.563025,0.5687056
0.563047,0.5750803
0.563070,0.5725305
0.563092,0.5725305
0.563114,0.5750803
0.563136,0.5699806
0.563158,0.5725305
0.563181,0.5725305
0.563203,0.5674307
0.563225,0.5750803
0.563247,0.5712555
0.563269,0.5712555
0.563292,0.5725305
0.563314,0.5699806
0.563336,0.5738054
0.563358,0.5725305
0.563380,0.5712555
0.563403,0.5750803
0.563425,0.5699806
0.563447,0.5712555
0.563469,0.5725305
0.563492,0.5725305
0.563514,0.5725305
0.563536,0.5687056
0.563558,0.5750803
0.563580,0.5712555
0.563603,0.5712555
0.563625,0.5750803
0.563647,0.5699806
0.563669,0.5725305
0.563691,0.5725305
0.563714,0.5687056
0.563736,0.5750803
0.563758,0.5725305
0.563780,0.5725305
0.563802,0.5750803
0.563825,0.5687056
0.563847,0.5725305
0.563869,0.5725305
0.563891,0.5687056
0.563913,0.5750803
0.563936,0.5725305
0.563958,0.5712555
0.563980,0.5725305
0.564002,0.5687056
0.564025,0.5750803
0.564047,0.5687056
0.564069,0.5712555
0.564091,0.5725305
0.564113,0.5674307
0.564136,0.5750803
0.564158,0.5738054
0.564180,0.5725305
0.564202,0.5750803
0.564224,0.5699806
0.564247,0.5725305
0.564269,0.5725305
0.564291,0.5687056
0.564313,0.5750803
0.564335,0.5725305
0.564358,0.5712555
0.564380,0.5750803
0.564402,0.5687056
0.564424,0.5712555
0.564446,0.5687056
0.564469,0.5725305
0.564491,0.5725305
0.564513,0.5687056
0.564535,0.5750803
0.564558,0.5725305
0.564580,0.5725305
0.564602,0.5750803
0.564624,0.5687056
0.564646,0.5725305
0.564669,0.5725305
0.564691,0.5699806
0.564713,0.5750803
0.564735,0.5712555
0.564757,0.5712555
0.564780,0.5750803
0.564802,0.5699806
0.564824,0.5725305
0.564846,0.5699806
0.564868,0.5699806
0.564891,0.5738054
0.564913,0.5687056
0.564935,0.5750803
0.564957,0.5725305
0.564979,0.5725305
0.565002,0.5750803
0.565024,0.5699806
0.565046,0.5725305
0.565068,0.5725305
0.565091,0.5687056
0.565113,0.5750803
0.565135,0.5712555
0.565157,0.5725305
0.565179,0.5738054
0.565202,0.5687056
0.565224,0.5725305
0.565246,0.5738054
0.565268,0.5687056
0.565290,0.5750803
0.565313,0.5725305
0.565335,0.5725305
0.565357,0.5750803
0.565379,0.5687056
0.565401,0.5750803
0.565424,0.5725305
0.565446,0.5725305
0.565468,0.5750803
0.565490,0.5687056
0.565512,0.5725305
0.565535,0.5725305
0.565557,0.5687056
0.565579,0.5738054
0.565601,0.5699806
0.565624,0.5725305
0.565646,0.5712555
0.565668,0.5687056
0.565690,0.5738054
0.565712,0.5687056
0.565735,0.5725305
0.565757,0.5725305
0.565779,0.5687056
